event_id,vehicle_id,zone_id,entry_time,exit_time,paid_amount
E0000001,V00971,Z005,2024-11-22 18:35:12,2024-11-22 20:51:12,56.67
E0000002,V00524,Z005,2023-07-10 11:18:25,2023-07-10 14:56:25,90.83
E0000003,V00578,Z003,2024-03-09 00:48:04,2024-03-09 03:17:04,74.5
E0000004,V00309,Z004,2023-05-24 17:11:02,2023-05-24 19:57:02,193.67
E0000005,V00696,Z005,2023-02-24 09:49:10,2023-02-24 15:48:10,149.58
E0000006,V00158,Z003,2023-07-20 06:18:19,2023-07-20 11:46:19,164.0
E0000007,V00162,Z003,2023-01-11 08:39:34,2023-01-11 11:15:34,78.0
E0000008,V00048,Z001,2023-07-30 01:08:18,2023-07-30 02:12:18,53.33
E0000009,V00056,Z005,2024-10-10 17:02:00,2024-10-10 18:05:00,26.25
E0000010,V00137,Z002,2023-01-27 07:52:52,2023-01-27 10:40:52,112.0
E0000011,V00692,Z001,2023-07-12 16:02:43,2023-07-12 21:04:43,251.67
E0000012,V00837,Z005,2024-12-24 05:33:27,2024-12-24 09:16:27,92.92
E0000013,V00871,Z005,2023-04-03 18:46:23,2023-04-03 23:06:23,108.33
E0000014,V00755,Z001,2023-06-18 13:27:22,2023-06-18 18:47:22,266.67
E0000015,V00093,Z002,2023-12-20 12:21:10,2023-12-20 14:04:10,68.67
E0000016,V00211,Z005,2023-11-12 22:27:06,2023-11-13 03:33:06,127.5
E0000017,V00518,Z003,2023-11-07 07:14:24,2023-11-07 09:45:24,75.5
E0000018,V00847,Z005,2023-06-03 09:46:19,2023-06-03 13:23:19,90.42
E0000019,V00427,Z002,2023-08-15 08:18:31,2023-08-15 11:37:31,132.67
E0000020,V00513,Z003,2023-01-12 22:48:41,2023-01-13 00:14:41,43.0
E0000021,V00129,Z005,2024-08-08 12:21:39,2024-08-08 14:43:39,59.17
E0000022,V00216,Z002,2024-05-22 04:01:04,2024-05-22 08:18:04,171.33
E0000023,V00889,Z002,2023-05-21 13:08:22,2023-05-21 13:50:22,28.0
E0000024,V00562,Z001,2023-01-11 22:37:01,2023-01-11 23:30:01,44.17
E0000025,V00014,Z003,2023-03-26 18:43:28,2023-03-26 23:39:28,148.0
E0000026,V00542,Z003,2023-02-21 11:49:59,2023-02-21 13:35:59,53.0
E0000027,V00500,Z002,2023-11-21 13:07:41,2023-11-21 15:54:41,111.33
E0000028,V00806,Z004,2023-05-20 09:12:24,2023-05-20 14:00:24,336.0
E0000029,V00512,Z003,2024-10-06 08:52:04,2024-10-06 09:27:04,17.5
E0000030,V00664,Z001,2024-12-08 10:39:04,2024-12-08 11:53:04,61.67
E0000031,V00594,Z001,2024-08-29 13:08:14,2024-08-29 13:27:14,15.83
E0000032,V00725,Z003,2024-12-30 01:57:15,2024-12-30 05:10:15,96.5
E0000033,V00736,Z004,2024-03-14 05:03:29,2024-03-14 08:35:29,247.33
E0000034,V00390,Z001,2024-05-08 10:14:32,2024-05-08 11:12:32,48.33
E0000035,V00677,Z004,2024-04-21 21:04:40,2024-04-22 02:16:40,364.0
E0000036,V00323,Z003,2023-04-01 10:15:56,2023-04-01 14:16:56,120.5
E0000037,V00620,Z004,2023-09-13 00:02:56,2023-09-13 02:31:56,173.83
E0000038,V00901,Z002,2024-09-29 10:41:57,2024-09-29 12:18:57,64.67
E0000039,V00070,Z004,2023-03-07 08:17:02,2023-03-07 08:42:02,29.17
E0000040,V00801,Z001,2024-12-10 15:49:18,2024-12-10 18:28:18,132.5
E0000041,V00196,Z002,2023-03-11 00:41:34,2023-03-11 03:20:34,106.0
E0000042,V00521,Z004,2024-05-11 20:49:27,2024-05-11 23:23:27,179.67
E0000043,V00992,Z002,2024-12-20 02:38:05,2024-12-20 03:03:05,16.67
E0000044,V00670,Z001,2023-07-17 10:02:40,2023-07-17 12:16:40,111.67
E0000045,V00936,Z004,2023-04-25 00:57:50,2023-04-25 06:04:50,358.17
E0000046,V00721,Z005,2024-09-11 17:49:10,2024-09-11 20:16:10,61.25
E0000047,V00022,Z001,2023-01-23 19:47:42,2023-01-23 23:46:42,199.17
E0000048,V00682,Z003,2024-09-27 01:50:14,2024-09-27 04:22:14,76.0
E0000049,V00424,Z004,2024-04-09 06:30:38,2024-04-09 08:25:38,134.17
E0000050,V00627,Z002,2023-08-31 05:56:10,2023-08-31 07:58:10,81.33
E0000051,V00392,Z002,2024-04-12 09:50:13,2024-04-12 11:17:13,58.0
E0000052,V00512,Z002,2024-02-19 21:21:39,2024-02-20 01:13:39,154.67
E0000053,V00038,Z004,2024-05-11 00:09:30,2024-05-11 03:35:30,240.33
E0000054,V00212,Z005,2024-07-16 16:03:24,2024-07-16 16:21:24,7.5
E0000055,V00018,Z004,2024-05-15 14:08:58,2024-05-15 16:40:58,177.33
E0000056,V00294,Z004,2023-09-18 17:16:30,2023-09-18 18:20:30,74.67
E0000057,V00844,Z005,2023-10-03 12:44:36,2023-10-03 14:08:36,35.0
E0000058,V00415,Z003,2024-02-11 02:10:22,2024-02-11 06:00:22,115.0
E0000059,V00604,Z004,2023-08-19 01:15:32,2023-08-19 02:28:32,85.17
E0000060,V00588,Z001,2023-04-27 07:01:53,2023-04-27 07:30:53,24.17
E0000061,V00204,Z003,2023-11-14 21:09:04,2023-11-15 01:24:04,127.5
E0000062,V00761,Z003,2023-03-03 13:48:26,2023-03-03 15:59:26,65.5
E0000063,V00822,Z002,2024-12-19 03:34:42,2024-12-19 06:18:42,109.33
E0000064,V00990,Z003,2024-05-06 22:15:31,2024-05-07 00:05:31,55.0
E0000065,V00725,Z001,2023-12-18 13:58:36,2023-12-18 15:42:36,86.67
E0000066,V00836,Z003,2024-11-01 03:04:09,2024-11-01 07:44:09,140.0
E0000067,V00281,Z002,2024-09-19 16:45:01,2024-09-19 20:02:01,131.33
E0000068,V00883,Z002,2024-03-10 14:54:48,2024-03-10 19:46:48,194.67
E0000069,V00852,Z005,2023-07-02 21:42:19,2023-07-03 03:01:19,132.92
E0000070,V00624,Z002,2023-12-24 23:28:30,2023-12-25 02:13:30,110.0
E0000071,V00580,Z005,2024-11-27 18:11:25,2024-11-27 23:40:25,137.08
E0000072,V00691,Z003,2024-01-21 14:41:33,2024-01-21 16:24:33,51.5
E0000073,V00592,Z003,2023-02-12 06:46:50,2023-02-12 09:30:50,82.0
E0000074,V00755,Z001,2023-05-19 05:39:04,2023-05-19 08:23:04,136.67
E0000075,V00714,Z001,2024-12-04 05:37:24,2024-12-04 08:46:24,157.5
E0000076,V00106,Z002,2024-10-27 01:47:54,2024-10-27 05:51:54,162.67
E0000077,V00573,Z002,2023-07-15 21:17:45,2023-07-16 02:32:45,210.0
E0000078,V00064,Z002,2024-01-20 17:04:23,2024-01-20 19:14:23,86.67
E0000079,V00053,Z004,2023-06-18 23:06:09,2023-06-19 04:41:09,390.83
E0000080,V00507,Z004,2024-07-25 23:50:36,2024-07-26 01:25:36,110.83
E0000081,V00369,Z004,2024-11-07 15:58:37,2024-11-07 21:03:37,355.83
E0000082,V00062,Z002,2023-10-02 01:59:10,2023-10-02 06:00:10,160.67
E0000083,V00717,Z002,2024-08-07 05:45:05,2024-08-07 09:35:05,153.33
E0000084,V00462,Z002,2024-01-26 07:09:04,2024-01-26 11:22:04,168.67
E0000085,V00893,Z001,2023-12-15 23:42:57,2023-12-16 02:55:57,160.83
E0000086,V00047,Z003,2024-10-26 01:21:44,2024-10-26 02:29:44,34.0
E0000087,V00454,Z001,2023-05-02 17:05:06,2023-05-02 20:55:06,191.67
E0000088,V00185,Z001,2023-11-18 14:48:51,2023-11-18 16:21:51,77.5
E0000089,V00096,Z002,2024-11-28 03:19:57,2024-11-28 08:41:57,214.67
E0000090,V00068,Z001,2023-12-29 08:45:40,2023-12-29 14:39:40,295.0
E0000091,V00384,Z001,2024-03-10 09:10:38,2024-03-10 14:07:38,247.5
E0000092,V00089,Z001,2023-12-08 00:33:32,2023-12-08 04:39:32,205.0
E0000093,V00064,Z003,2023-11-20 10:44:49,2023-11-20 11:40:49,28.0
E0000094,V00997,Z002,2024-02-14 23:33:42,2024-02-15 01:06:42,62.0
E0000095,V00782,Z005,2023-12-12 09:05:19,2023-12-12 11:02:19,48.75
E0000096,V00958,Z005,2024-03-28 02:50:31,2024-03-28 06:27:31,90.42
E0000097,V00467,Z002,2023-03-09 16:07:52,2023-03-09 19:31:52,136.0
E0000098,V00933,Z003,2024-03-27 08:54:37,2024-03-27 10:54:37,60.0
E0000099,V00751,Z004,2023-07-18 20:11:01,2023-07-18 22:01:01,128.33
E0000100,V00122,Z005,2024-09-11 19:43:45,2024-09-11 23:43:45,100.0
E0000101,V00186,Z002,2024-12-23 04:19:01,2024-12-23 10:17:01,238.67
E0000102,V00883,Z003,2023-07-18 23:14:29,2023-07-19 04:43:29,164.5
E0000103,V00879,Z002,2023-03-02 06:03:11,2023-03-02 09:41:11,145.33
E0000104,V00477,Z002,2024-04-02 18:36:36,2024-04-02 19:58:36,54.67
E0000105,V00111,Z004,2024-01-21 21:15:45,2024-01-21 23:42:45,171.5
E0000106,V00887,Z002,2024-07-24 11:48:56,2024-07-24 12:56:56,45.33
E0000107,V00292,Z003,2023-01-12 04:11:50,2023-01-12 08:22:50,125.5
E0000108,V00511,Z003,2024-03-16 19:44:57,2024-03-17 01:33:57,174.5
E0000109,V00183,Z002,2023-01-10 08:33:15,2023-01-10 10:44:15,87.33
E0000110,V00417,Z002,2023-05-11 23:21:54,2023-05-12 03:23:54,161.33
E0000111,V00203,Z002,2023-05-05 15:49:08,2023-05-05 17:15:08,57.33
